OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,SOURCE_DATE,SOURCE,PARKING_ACCESS,STREET,PARKINGONSTREETID,PARKING_COST,CREATE_DATE,UPDATE_DATE,PAYMENT_METHOD,MAX_RATE,HOURS,DAYS,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,STATUS,Shape__Area,Shape__Length
767,PARKING,3,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6233,2 HOURS FREE,3/12/2013 1:49:55 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,9,3,ACTIVE,41.754638671875,43.1771352353822
768,PARKING,3,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6234,2 HOURS FREE,3/12/2013 1:51:42 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,3,ACTIVE,41.052734375,45.3913315125137
770,PARKING,2,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6236,2 HOURS FREE,3/12/2013 1:52:13 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,9,3,ACTIVE,29.754150390625,32.7060644257266
771,PARKING,2,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6237,2 HOURS FREE,3/12/2013 1:52:26 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,3,ACTIVE,31.90185546875,31.9933295127865
772,PARKING,2,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6238,2 HOURS FREE,3/12/2013 1:53:53 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,3,ACTIVE,32.641845703125,32.7775031717757
773,PARKING,2,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6239,2 HOURS FREE,3/12/2013 1:54:07 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,9,3,ACTIVE,30.701416015625,32.682932616488
774,PARKING,2,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KNIG ST E,6240,2 HOURS FREE,3/12/2013 1:54:29 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,3,ACTIVE,28.140869140625,31.0265440784193
775,PARKING,1,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHURCH ST,6241, ,3/12/2013 2:18:19 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,8.81201171875,15.4905995292981
777,PARKING,6,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,JOSEPH ST,6252,2 HOURS FREE,3/12/2013 3:17:46 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,9,7,ACTIVE,63.5525688529015,73.8951423166636
778,PARKING,2,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,JOSEPH ST,6253,2 HOURS FREE,3/12/2013 3:19:48 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,9,7,ACTIVE,33.622314453125,31.0927730178045
